Customer Id,Customer Name,Age,Gender,Other members in Family,Annual Average Spend,State
CUST00041,Kamni Kahan,53,Female,0,24038.3,Maharashtra
CUST00042,Barjraj Jyoti,32,Male,1,30174.46,Goa
CUST00043,Beeru Sankar,42,Male,2,45236.74,Tamil Nadu
CUST00044,Nagma Irfan,48,Female,0,30833.02,Maharashtra
CUST00045,Fooljhnah Dhawan,54,Female,3,29112.9,Goa
CUST00046,Tina Dhaka,31,Female,2,17012.45,Maharashtra
CUST00047,Jatin Kher,34,Male,3,38103.21,Telangana
CUST00048,Rinki Sanjeevan,37,Female,3,15199.78,Assam
CUST00049,Anita Balmiki,39,Female,3,40755.76,Karnataka
CUST00050,Ruby Bilas,28,Female,4,30359.34,Jammu & Kashmir
CUST00051,Bishun Dhawan,36,Male,0,27179.04,Jharkhand
CUST00052,Nausad Sher,61,Male,0,44066.02,Maharashtra
CUST00053,Veer More,68,Male,1,47624.52,Bihar
CUST00054,Kajal Raees,60,Female,0,47558.06,Jharkhand
CUST00055,Abhishek Agrwal,62,Male,0,18712.94,Arunachal Pradesh
CUST00056,Minakchi Saxsena,66,Female,1,41142.94,Jharkhand
CUST00057,Kaushaliya Ahamad,42,Female,2,13673.77,Sikkim
CUST00058,Adnan Khemchandani,60,Male,3,24954.18,Andaman & Nicobar
CUST00059,Talim Giri,60,Male,4,30572.56,West Bengal
CUST00060,Pooja Kumer,58,Female,3,38440.14,Tripura
CUST00061,Arvind Madan,30,Male,0,39873.77,Meghalaya
CUST00062,Jahoor Mehto,62,Male,1,17529.84,Tripura
CUST00063,Lalita Sain,21,Female,1,11007.79,Meghalaya
CUST00064,Sharat Mahajan,21,Male,2,22826.84,Puducherry
CUST00065,Rimmi Amahad,45,Female,4,47696.48,Jammu & Kashmir
CUST00066,Vishal Viswas,51,Male,0,25897.53,Tripura
CUST00067,Sheetal Muslim,44,Female,3,27826.45,Chhattisgarh
CUST00068,Punit Koushik,37,Male,1,16967.54,Jammu & Kashmir
CUST00069,Gurdeep Rameshwar,56,Female,2,19620.92,Tamil Nadu
CUST00070,Dhanwanti Ahmad,24,Female,0,11054.86,Tripura
CUST00071,Leelawati Salam,24,Female,0,29487.06,Telangana
CUST00072,Bablu Raghav,32,Male,1,10066.63,Odisha
CUST00073,Payal Kamruddin,46,Female,3,10608.1,Uttar Pradesh
CUST00074,Rupesh Dutta,24,Male,4,28812.1,Odisha
CUST00075,Gulshan Aurao,60,Female,3,40365.71,Andaman & Nicobar
CUST00076,Mercy Nichatar,35,Female,0,26457.74,Madhya Pradesh
CUST00077,Tammanne Dinesh,51,Male,4,13747.89,Andhra Pradesh
CUST00078,Jaswant Sagar,27,Male,0,35467.18,Arunachal Pradesh
CUST00079,Rakesh Tanzeem,25,Male,1,24101.24,Goa
CUST00080,Pinki Shahnawaz,67,Female,4,45886.48,Uttarakhand
CUST00081,Gajender Dagar,30,Male,3,35804.62,Andhra Pradesh
CUST00082,Anubhav Mali,23,Male,2,47881.06,Nagaland
CUST00083,Meera Shan,50,Female,2,38117.38,Haryana
CUST00084,Sarvesh Sahid,46,Male,4,10175.67,Chandigarh
CUST00085,Bhupender Sanghi,34,Male,1,45104.31,Arunachal Pradesh
CUST00086,Abhi Agnihothri,67,Male,2,26235.97,Delhi
CUST00087,Rajeev Mahadw,53,Male,1,20757.54,Mizoram
CUST00088,Sna Almas,35,Female,3,40395.44,Himachal Pradesh
CUST00089,Gurmit Ashik,40,Male,1,16006.68,Tripura
CUST00090,Yogesh Kush,67,Male,1,32502.75,Jammu & Kashmir
CUST00091,Kiran Sigh,34,Female,4,14457.58,West Bengal
CUST00092,Yogita Tilak,58,Male,0,12270.26,Gujarat
CUST00093,Kamla Kuma,21,Female,2,30414.57,Uttarakhand
CUST00094,Mercy Avwsthi,51,Female,4,45414.81,Kerala
CUST00095,Pooran Ashik,23,Male,0,19044.85,Arunachal Pradesh
CUST00096,Chango Gujar,61,Female,4,10144.64,Arunachal Pradesh
CUST00097,Parveen Ladla,21,Female,2,32128.84,Ladakh
CUST00098,Deepak Jakhad,39,Male,3,14985.31,Andhra Pradesh
CUST00099,Meera Aklim,23,Female,2,40601.43,Haryana
CUST00100,Sitara Rawat,43,Female,1,49988.2,Madhya Pradesh
CUST00101,Keshar Kishan,32,Male,2,35887.53,Arunachal Pradesh
CUST00102,Aakanksha Mehta,28,Female,1,28087.09,Rajasthan
CUST00103,Layba Jisan,37,Female,1,12945.76,Assam
CUST00104,Bhupender Shokeen,44,Male,4,21711.07,Odisha
CUST00105,Kiran Arafaat,25,Female,4,12945.59,Mizoram
CUST00106,Sarojani Raoji,46,Female,2,44902.67,Telangana
CUST00107,Adnan Jay,53,Male,1,39244.06,Rajasthan
CUST00108,Sheetal Baksh,31,Female,3,28628.88,Bihar
CUST00109,Amarjeet Dhar,41,Male,4,15849.18,Arunachal Pradesh
CUST00110,Arindra Tafseer,21,Male,2,12596.25,Ladakh
CUST00111,Subhash Balveer,26,Male,3,21555.53,Andhra Pradesh
CUST00112,Rakhi Aakil,41,Female,0,42863.99,Kerala
CUST00113,Ramvilash Rath0R,24,Male,3,22869.8,Madhya Pradesh
CUST00114,Salman Dev,47,Male,4,30113.81,Himachal Pradesh
CUST00115,Kuldeep Eklok,41,Male,0,17258.94,Lakshadweep
CUST00116,Shadab Bhardwaj,30,Male,2,17780.4,Chhattisgarh
CUST00117,Abhi Hassan,23,Male,3,23810.83,Manipur
CUST00118,Tina Larse,48,Female,4,42248.68,Andaman & Nicobar
CUST00119,Sharat Bhan,42,Male,3,14460.71,Manipur
CUST00120,Manisha Nadaim,22,Female,1,40711.8,Kerala
CUST00121,Monika Narayan,46,Female,1,34970.68,Dadra & Nagar Haveli and Daman & Diu
CUST00122,Nagina Niyaz,22,Female,3,15399.03,Jammu & Kashmir
CUST00123,Vikas Muzaffar,57,Male,2,23243.38,Chandigarh
CUST00124,Parveen Kandpal,45,Female,0,19577.14,Jharkhand
CUST00125,Pankaj Firoj,56,Male,1,32288.17,Meghalaya
CUST00126,Nanku Mahaldar,66,Male,4,26507.85,Himachal Pradesh
CUST00127,Durgesh Dadwal,29,Male,2,21256.94,Sikkim
CUST00128,Chandesh Ajiz,22,Male,0,11834.72,Mizoram
CUST00129,Shehnaz Upadhay,30,Female,1,22347.74,Uttar Pradesh
CUST00130,Harsh Nanak,60,Male,4,12313.63,Chhattisgarh
CUST00131,Rekha Rehan,52,Female,1,25242.97,Puducherry
CUST00132,Divya Islam,43,Female,3,30866.33,West Bengal
CUST00133,Dinesh Husain,68,Male,0,15309.47,Chandigarh
CUST00134,Jatin Chobe,37,Male,2,10464.09,Meghalaya
CUST00135,Kabir Tafseer,33,Male,1,47434.62,Rajasthan
CUST00136,Sarbjeet Midha,44,Male,1,41189.91,Ladakh
CUST00137,Chahat Chabra,27,Female,4,18382.02,Telangana
CUST00138,Som Kansal,67,Male,3,27995.98,Rajasthan
CUST00139,Hina Maheto,57,Female,1,12941.38,Odisha
CUST00140,Kavita Lohar,22,Female,1,42592.12,Kerala
CUST00141,Kavita Rajiq,27,Female,4,20814.77,Andaman & Nicobar
CUST00142,Rakesh Sanover,68,Male,1,13643.91,Dadra & Nagar Haveli and Daman & Diu
CUST00143,Devinder Samad,41,Male,1,13626.87,Uttarakhand
CUST00144,Jahoor Ubas,38,Male,0,26288.44,Chhattisgarh
CUST00145,Mazida Gayakwad,66,Female,3,45894.73,Madhya Pradesh
CUST00146,Kajal Bhatt,67,Female,2,34564.6,Puducherry
CUST00147,Nidhi Vaishnav,35,Female,3,17861.83,Punjab
CUST00148,Vidhi Haider,65,Female,4,18469.77,Himachal Pradesh
CUST00149,Moti Madhav,50,Male,0,28939.44,Sikkim
CUST00150,Roshni Rana,67,Female,2,18924.35,Telangana
CUST00151,Vikas Kumar,42,Male,4,11910.81,Bihar
CUST00152,Shivam Ratori,38,Male,3,46868.1,Arunachal Pradesh
CUST00153,Laxmi Saroj,42,Female,4,19293.8,Himachal Pradesh
CUST00154,Abhishek Chintu,66,Male,1,42700.15,Gujarat
CUST00155,Kausal Mathur,45,Male,2,47400.4,Assam
CUST00156,Yogita Mandl,51,Male,0,16389.72,Assam
CUST00157,Aasmin Kirshan,24,Female,1,27514.61,Goa
CUST00158,Preetam Kasyp,46,Male,1,37566.66,Telangana
CUST00159,Khursid Khiladi,34,Male,4,20293.86,Jammu & Kashmir
CUST00160,Salima Rebari,39,Female,2,27264.7,Jammu & Kashmir
CUST00161,Reena Barman,39,Female,4,15648.46,Arunachal Pradesh
CUST00162,Aashiya Mukesh,40,Female,2,33753.59,Lakshadweep
CUST00163,Gajender Sumramanya,64,Male,3,14224.84,Goa
CUST00164,Jitender Vinod,32,Male,4,30398.53,Chhattisgarh
CUST00165,Nisha Talha,63,Female,0,14131.06,Chhattisgarh
CUST00166,Pritam Sayam,61,Male,1,46163.03,Ladakh
CUST00167,Anita Snigh,43,Female,4,33506.75,Dadra & Nagar Haveli and Daman & Diu
CUST00168,Neetu Birma,22,Female,1,23305.06,Telangana
CUST00169,Maansingh Chakraborty,62,Male,4,18336.3,Chandigarh
CUST00170,Shivani Uppal,67,Female,3,12181.05,Odisha
CUST00171,Ramdin Rebari,21,Male,2,18505.89,Madhya Pradesh
CUST00172,Harsh Saveroop,29,Male,3,33018.54,Madhya Pradesh
CUST00173,Versa Aneja,52,Female,4,14810.93,Arunachal Pradesh
CUST00174,Kausal Naagar,35,Male,3,26606.76,Andhra Pradesh
CUST00175,Phoolwati Ravindran,47,Male,1,16161.75,Tripura
CUST00176,Ruby Dinesh,68,Female,0,29381.44,West Bengal
CUST00177,Versa Achariy,51,Female,2,17580.99,Kerala
CUST00178,Neeraj Bhagat,53,Male,4,49071.48,Manipur
CUST00179,Sunita Shetty,53,Female,1,16474.2,Andhra Pradesh
CUST00180,Maansingh Lakhan,36,Male,2,32949.52,Gujarat
CUST00181,Gopal Bind,55,Male,3,25429.05,Himachal Pradesh
CUST00182,Khushbu Bhatiya,41,Female,1,23721.66,Punjab
CUST00183,Kushal Gautam,64,Male,4,34501.74,Sikkim
CUST00184,Chahat Rajanna,25,Female,0,22999.19,Meghalaya
CUST00185,Raju Baks,37,Male,3,32451.47,West Bengal
CUST00186,Doodhnath Bilas,24,Male,0,20648.88,Meghalaya
CUST00187,Dipendra Arafat,33,Male,1,18930.7,Arunachal Pradesh
CUST00188,Ajay Vargees,21,Male,4,19022.65,Andaman & Nicobar
CUST00189,Silender Sagar,51,Male,4,21040.96,Chhattisgarh
CUST00190,Priya Gameti,44,Female,2,22878.63,Tamil Nadu
CUST00191,Monika Salman,59,Female,4,21580.29,Puducherry
CUST00192,Rahul Kansal,44,Male,0,30048.65,Telangana
CUST00193,Ramdin Imtiyaz,55,Male,3,30906.14,Chhattisgarh
CUST00194,Rohit Suman,58,Male,4,18999.17,Ladakh
CUST00195,Vijay Kanwar,51,Male,3,45162.35,Kerala
CUST00196,Bhupender Brig,53,Male,3,18379.11,Andaman & Nicobar
CUST00197,Palak Dayal,39,Female,2,31489.4,Punjab
CUST00198,Sandeep Chorasiya,50,Male,0,49472.19,Nagaland
CUST00199,Meena Seni,26,Female,1,39308.53,Maharashtra
CUST00200,Beeru Mahto,49,Male,4,23253.07,Sikkim
CUST00201,Jyoti Fateh,63,Female,1,32111.84,Jharkhand
CUST00202,Birender Tulla,25,Male,0,29186.13,Manipur
CUST00203,Usha Rajpurohit,65,Female,2,22970.63,Mizoram
CUST00204,Riyasat Nath,24,Male,3,23092.3,Bihar
CUST00205,Sevak Narendra,22,Male,0,18304.09,Puducherry
CUST00206,Dharam Shokat,39,Male,4,10909.29,Andhra Pradesh
CUST00207,Jamil Jatan,41,Male,2,48219.84,Meghalaya
CUST00208,Jagdish Janm,31,Male,3,13757.3,Tamil Nadu
CUST00209,Vinod Hazra,40,Male,0,23626.12,Dadra & Nagar Haveli and Daman & Diu
CUST00210,Meena Bhagat,47,Female,0,22211.75,Odisha
CUST00211,Som Ladla,42,Male,1,13793.1,Karnataka
CUST00212,Rishi Muttun,48,Male,0,17212.6,Mizoram
CUST00213,Preetam Rajak,64,Male,1,35489.11,Puducherry
CUST00214,Nanku Sharjma,22,Male,1,31951.79,Uttar Pradesh
CUST00215,Kamla Mustafa,24,Female,4,37547.86,Ladakh
CUST00216,Kamni Husain,66,Female,0,16543.38,Meghalaya
CUST00217,Nikita Shubhan,42,Female,3,13727.33,Punjab
CUST00218,Anjali Braman,40,Female,3,18639.1,Haryana
CUST00219,Aman Jakhad,54,Male,1,44504.84,Odisha
CUST00220,Neeraj Jarwal,36,Male,4,19007.38,Nagaland
CUST00221,Rimmi Bodha,54,Female,1,23860.52,Delhi
CUST00222,Silender Sarfroj,37,Male,0,20116.74,Assam
CUST00223,Naziya Faruk,24,Female,2,39479.58,Puducherry
CUST00224,Babita Dat,67,Female,4,44414.5,Tamil Nadu
CUST00225,Jahoor Rajik,61,Male,2,38289.01,Goa
CUST00226,Monika Kasyap,56,Female,3,13808.74,Jharkhand
CUST00227,Manoj Aki,36,Male,3,42743.15,Uttarakhand
CUST00228,Riya Awasthi,68,Female,3,41785.42,Mizoram
CUST00229,Priyanka Rout,68,Female,0,23577.19,Rajasthan
CUST00230,Aamir Sarfroj,48,Male,1,18093.12,Chhattisgarh
CUST00231,Jagdish Shri,63,Male,4,13434.08,Tripura
CUST00232,Nagma Modi,46,Female,1,37194,Uttar Pradesh
CUST00233,Rajni Nagda,49,Female,3,12130.37,Delhi
CUST00234,Bablu Mahawar,35,Male,3,16716.97,Bihar
CUST00235,Pulkit Dwivedi,38,Male,0,49666.78,Ladakh
CUST00236,Ramvilash Furkahn,68,Male,1,36952.81,Assam
CUST00237,Adnan Midas,28,Male,1,20680.23,Madhya Pradesh
CUST00238,Mohan Alam,31,Male,0,22744.97,Himachal Pradesh
CUST00239,Mohd. Parveen,22,Male,1,22995.04,Odisha
CUST00240,Versa Sanjeevan,52,Female,2,49438.08,Punjab
CUST00241,Shivani Patel,51,Female,1,39457.05,Dadra & Nagar Haveli and Daman & Diu
CUST00242,Kanika Vadhuva,33,Female,1,40653.09,Himachal Pradesh
CUST00243,Neha Abrol,36,Female,4,20642.53,Rajasthan
CUST00244,Murari Matta,44,Male,1,46782.89,Jammu & Kashmir
CUST00245,Janki Agnihothri,50,Female,1,29372.35,Jammu & Kashmir
CUST00246,Babalu Nand,66,Male,1,15647.01,Sikkim
CUST00247,Veer Sekh,28,Male,0,47078.85,Puducherry
CUST00248,Shadab Kumal,62,Male,1,22124.58,Kerala
CUST00249,Usha Pardad,38,Female,4,43989.26,Bihar
CUST00250,Priyanka Kasyap,31,Female,1,37096.63,Delhi
CUST00251,Pankaj Kumat,30,Male,0,44989.85,Assam
CUST00252,Kamla Sudan,53,Female,1,30262.88,Gujarat
CUST00253,Kishan Suwedi,53,Male,2,32891.61,Goa
CUST00254,Mukul Bhasin,67,Male,4,40274.45,Chandigarh
CUST00255,Raghunandan Agnihothri,24,Male,0,24432.09,Meghalaya
CUST00256,Supriyal Jabhar,49,Male,2,23515.16,Lakshadweep
CUST00257,Sarain Sahay,40,Male,4,24548.93,Jharkhand
CUST00258,Hina Sulemani,48,Female,2,21384.3,Kerala
CUST00259,Chandni Anwar,36,Female,1,26798.08,Gujarat
CUST00260,Basnti Trehan,46,Female,1,15634.65,Andaman & Nicobar
CUST00261,Pulkit Narain,38,Male,2,44227.28,Dadra & Nagar Haveli and Daman & Diu
CUST00262,Nikita God,43,Female,3,37342.06,Ladakh
CUST00263,Jamil Umar,58,Male,1,48914.03,Odisha
CUST00264,Bhagwati Pritesh,58,Male,2,38266.91,Uttarakhand
CUST00265,Shafibul Seithi,66,Male,3,18309.88,Meghalaya
CUST00266,Ramvilash Haldal,53,Male,2,17645.92,Uttarakhand
CUST00267,Priya Aalam,51,Female,2,42616.45,Goa
CUST00268,Isha Kalam,41,Female,4,49028.4,Karnataka
CUST00269,Vimla Kamat,67,Female,3,22072.78,Tripura
CUST00270,Yognder Sahajeet,42,Male,2,34158.37,Jammu & Kashmir
CUST00271,Laxmi Mohmad,41,Female,2,30344.05,Nagaland
CUST00272,Kanchan Hassan,68,Female,0,22788.55,Lakshadweep
CUST00273,Ranju Arsad,51,Female,4,39756.82,Arunachal Pradesh
CUST00274,Jyoti Karmokar,54,Female,3,10081.04,Odisha
CUST00275,Kabir Ajamat,34,Male,0,27746.76,Jammu & Kashmir
CUST00276,Babalu Burman,34,Male,1,46308.82,Karnataka
CUST00277,Yogita Uadagar,25,Male,1,38946.62,Chandigarh
CUST00278,Rishi Megwal,53,Male,0,24439.61,Odisha
CUST00279,Deeya Khairul,42,Female,4,33279.63,Bihar
CUST00280,Abhishek Nelson,51,Male,4,38421.32,Haryana
CUST00281,Rustam Agrwal,66,Male,1,11907.92,Andaman & Nicobar
CUST00282,Rizwan Pulikotin,33,Male,1,25408.41,Mizoram
CUST00283,Som Jha,55,Male,3,23028.78,Maharashtra
CUST00284,Adnan Kumal,55,Male,3,28587.1,Tamil Nadu
CUST00285,Dinesh Uppadhya,39,Male,1,31386.59,Uttar Pradesh
CUST00286,Nidhi Sarif,44,Female,3,28122.99,Puducherry
CUST00287,Monika Mali,41,Female,1,45766.65,Andaman & Nicobar
CUST00288,Maansingh Gandhi,28,Male,2,23588.04,Madhya Pradesh
CUST00289,Raja Sahani,68,Male,1,32955.47,Arunachal Pradesh
CUST00290,Sheak Balai,65,Male,2,15184.7,Arunachal Pradesh
CUST00291,Aakanksha Rajendr,46,Female,3,46759.02,Puducherry
CUST00292,Sarain Yogesh,59,Male,1,47836.48,Mizoram
CUST00293,Surender Gaffar,67,Male,0,18504.63,Jammu & Kashmir
CUST00294,Babita Kumari,29,Female,1,44907.93,Delhi
CUST00295,Ajay Saroj,37,Male,0,10442.56,Rajasthan
CUST00296,Harsh Nameirak,65,Male,4,21098.87,Goa
CUST00297,Himanshu Kaura,27,Male,1,28141.1,Arunachal Pradesh
CUST00298,Yash Aneja,28,Male,2,36208.48,Andhra Pradesh
CUST00299,Priyanka Bhan,66,Female,4,26340.34,Jammu & Kashmir
CUST00300,Silender Bhola,33,Male,4,32272.62,Uttarakhand
CUST00301,Nausad Chugh,41,Male,4,42319.41,Uttar Pradesh
CUST00302,Vinod Chodhari,41,Male,0,30686.84,Haryana
CUST00303,Nisha Nafees,63,Female,4,36545.91,Chhattisgarh
CUST00304,Sparsh Ldaike,33,Male,2,39113.22,Chhattisgarh
CUST00305,Mohd. Jivan,25,Male,1,32386.63,Chhattisgarh
CUST00306,Tarjan Khalil,53,Male,4,42857.94,Chandigarh
CUST00307,Rizwan Nandi,44,Male,3,46536.04,Rajasthan
CUST00308,Layba Noman,21,Female,1,13830.14,Karnataka
CUST00309,Kamla Prashad,39,Female,2,42225.11,Jammu & Kashmir
CUST00310,Neeraj Dass,29,Male,3,39924.99,Tamil Nadu
CUST00311,Palak Saine,44,Female,2,49928.75,Arunachal Pradesh
CUST00312,Vimla Sing,29,Female,2,16612.89,Chandigarh
CUST00313,Rakhi Arif,43,Female,4,12062.46,Bihar
CUST00314,Rizwan Verma,39,Male,0,13029.27,Mizoram
CUST00315,Saddam Shanka,57,Male,2,23492.98,West Bengal
CUST00316,Kabir Sakir,32,Male,4,45697.86,Karnataka
CUST00317,Parvesh Kasera,40,Male,1,24168.35,Rajasthan
CUST00318,Ramvilash Seervi,64,Male,1,34872.31,Telangana
CUST00319,Chanderpal Bari,52,Male,4,25652.98,Tripura
CUST00320,Shyam Jahid,30,Male,1,38069.87,Jammu & Kashmir
CUST00321,Kishan Bharti,57,Male,3,25849.28,Mizoram
CUST00322,Esrail Shamim,50,Male,0,39432.9,Ladakh
CUST00323,Rajni Rout,32,Female,4,32283.36,Maharashtra
CUST00324,Sunita Talwar,39,Female,4,35541.35,Uttarakhand
CUST00325,Neha Gulzar,47,Female,3,27378.85,Punjab
CUST00326,Payal Mudda,64,Female,3,33082.78,Bihar
CUST00327,Palak Soji,68,Female,3,30197.04,Chhattisgarh
CUST00328,Arindra Rahond,42,Male,2,17443.89,Himachal Pradesh
CUST00329,Gurdeep Singhla,59,Female,4,12203.21,Lakshadweep
CUST00330,Raghunandan Jao,47,Male,0,17382.64,Dadra & Nagar Haveli and Daman & Diu
CUST00331,Nanku Sanjya,29,Male,4,43422.55,Mizoram
CUST00332,Parvesh Aakil,44,Male,3,14594.78,Rajasthan
CUST00333,Akash Kumari,57,Male,0,11336.84,Tripura
CUST00334,Nahar Salam,30,Male,0,10294.82,Telangana
CUST00335,Rizwan Choudhary,62,Male,0,33276.04,Kerala
CUST00336,Tammanne Dilbag,62,Male,4,16154.81,Punjab
CUST00337,Sohni Rastogi,22,Female,2,40041.55,Sikkim
CUST00338,Akhilesh Bumulu,66,Male,2,36071.55,Uttar Pradesh
CUST00339,Sandhya Mahashay,63,Female,1,28590.56,Gujarat
CUST00340,Nagina Prakesh,30,Female,1,20868.36,Arunachal Pradesh
CUST00341,Meena Som,29,Female,3,28340.01,Meghalaya
CUST00342,Buity Dhanpal,65,Female,2,16728.62,Lakshadweep
CUST00343,Abhishek Murat,40,Male,4,13335.56,West Bengal
CUST00344,Talim Haldhar,61,Male,4,25264.49,Jharkhand
CUST00345,Sunder Saharan,36,Male,4,17990.37,Chandigarh
CUST00346,Amarjeet Rajik,61,Male,4,33142.81,Tamil Nadu
CUST00347,Khushbu Sindhi,63,Female,3,10636.69,Arunachal Pradesh
CUST00348,Guddu Narwal,49,Male,4,41388.75,Gujarat
CUST00349,Ankit Aajam,26,Male,0,23884.06,Lakshadweep
CUST00350,Mohabbat Kumardhasmana,39,Male,4,31123.58,Puducherry
CUST00351,Parvesh Beswal,51,Male,1,37952.47,Rajasthan
CUST00352,Raghunandan Rathi,42,Male,0,17442.17,Goa
CUST00353,Ramvilash Arfan,41,Male,1,11031.34,Nagaland
CUST00354,Ram Charpota,42,Male,3,40989.11,Tripura
CUST00355,Abhishekh Manudeen,46,Male,1,18980.79,Chandigarh
CUST00356,Ravindra Koshik,47,Male,3,27587.43,Gujarat
CUST00357,Pintu Amarjeet,52,Male,0,18312.15,Himachal Pradesh
CUST00358,Niraj Rehman,32,Male,0,17777.78,Chhattisgarh
CUST00359,Kalyani Bahuguna,21,Female,2,39531.92,Meghalaya
CUST00360,Kamal Sekher,30,Male,0,41838.65,Karnataka
CUST00361,Tammanne Yajdani,51,Male,3,42716.62,Puducherry
CUST00362,Hemant Sasodiya,65,Male,0,45280.7,Tripura
CUST00363,Names Uraown,56,Male,0,35711.2,Maharashtra
CUST00364,Suresh Saleem,38,Male,3,18946.18,Mizoram
CUST00365,Dhanwanti Rajpoot,38,Female,3,33647.57,Punjab
CUST00366,Doly Husain,45,Female,3,39817.09,Goa
CUST00367,Poonam Chamoli,54,Female,3,11596.95,West Bengal
CUST00368,Versa Rahond,65,Female,2,32181.5,Maharashtra
CUST00369,Vivek Govinda,41,Male,3,12698.66,Karnataka
CUST00370,Tapas Zaki,29,Female,1,23569.73,Ladakh
CUST00371,Silender Shrma,23,Male,4,17453.1,Maharashtra
CUST00372,Kranti Khan,23,Female,1,36120.79,Tamil Nadu
CUST00373,Anjali Irfhan,60,Female,3,26504.05,Kerala
CUST00374,Rupesh Nanak,41,Male,4,33213.24,Kerala
CUST00375,Tapas Kant,29,Female,0,12616.25,Bihar
CUST00376,Yash Murthi,67,Male,1,43726.17,Gujarat
CUST00377,Dinesh Avaz,27,Male,3,15751.07,Lakshadweep
CUST00378,Raja Jomon,57,Male,0,40328.91,Ladakh
CUST00379,Kajal Prakesh,23,Female,3,42242.35,Nagaland
CUST00380,Doly Sayyub,28,Female,2,26967.92,Nagaland
CUST00381,Anubhav Mahaldar,56,Male,1,38913.23,Haryana
CUST00382,Mansi Rahul,62,Female,4,16492.85,Haryana
CUST00383,Arvind Aki,46,Male,1,11303.42,Odisha
CUST00384,Nagma Sadat,34,Female,1,10551.73,Odisha
CUST00385,Doodhnath Rathee,57,Male,0,17286.01,Assam
CUST00386,Phoolwati Kirad,44,Male,1,26149.88,Chhattisgarh
CUST00387,Arvind Rout,61,Male,0,16258.05,Nagaland
CUST00388,Pritam Singlai,51,Male,2,13161.66,Tripura
CUST00389,Meera Bhil,62,Female,2,26223.9,West Bengal
CUST00390,Kali Jaan,46,Male,2,11027.08,Himachal Pradesh
CUST00391,Anubhav Daraj,46,Male,4,23345.94,Sikkim
CUST00392,Reena Love,62,Female,1,46615.5,Odisha
CUST00393,Maansingh Pritesh,54,Male,0,37906.68,Puducherry
CUST00394,Sheak Tamang,67,Male,1,39446.03,Tamil Nadu
CUST00395,Gulshan Prajapt,54,Male,0,28353.75,West Bengal
CUST00396,Shiv Pahwa,39,Male,4,46078.39,Tamil Nadu
CUST00397,Iqra Omar,25,Female,4,46816.98,Arunachal Pradesh
CUST00398,Monika Jisan,35,Female,4,11889.02,Gujarat
CUST00399,Bhagwati Saifi,59,Male,0,46407.86,Haryana
CUST00400,Aakanksha Man,26,Female,3,29399.36,Chhattisgarh
